tipo,username,nombre_completo,url_perfil,foto,facebook_id,interaccion,texto_comentario
AMIGO,kikessu.u,,https://www.facebook.com/kikessu.u/,,,,
AMIGO,OasisTheLibertines,,https://www.facebook.com/OasisTheLibertines/,,,,
AMIGO,Albertoojhdz,,https://www.facebook.com/Albertoojhdz/,,,,
AMIGO,jared.qm.50,,https://www.facebook.com/jared.qm.50/,,,,
AMIGO,mariel.gonzalez.549668,,https://www.facebook.com/mariel.gonzalez.549668/,,,,
AMIGO,lidia.espiridian.96,,https://www.facebook.com/lidia.espiridian.96/,,,,
AMIGO,IVANAMPORTILLO,,https://www.facebook.com/IVANAMPORTILLO/,,,,
AMIGO,fernanda.hg.520744,,https://www.facebook.com/fernanda.hg.520744/,,,,
AMIGO,jonathan.pocel,,https://www.facebook.com/jonathan.pocel/,,,,
AMIGO,jaz.lop.mora,,https://www.facebook.com/jaz.lop.mora/,,,,
AMIGO,diana.laura.5686322,,https://www.facebook.com/diana.laura.5686322/,,,,
AMIGO,KaitlynEstefania,,https://www.facebook.com/KaitlynEstefania/,,,,
AMIGO,goalmazan,,https://www.facebook.com/goalmazan/,,,,
AMIGO,Jonasdanger117,,https://www.facebook.com/Jonasdanger117/,,,,
AMIGO,axel.ortiz.727625,,https://www.facebook.com/axel.ortiz.727625/,,,,
AMIGO,leslye.sandoval.9235,,https://www.facebook.com/leslye.sandoval.9235/,,,,
AMIGO,abyfrancoid3,,https://www.facebook.com/abyfrancoid3/,,,,
AMIGO,kevin.real.3150,,https://www.facebook.com/kevin.real.3150/,,,,
AMIGO,jesus.lima.704513,,https://www.facebook.com/jesus.lima.704513/,,,,
AMIGO,alexia.michelle.630223,,https://www.facebook.com/alexia.michelle.630223/,,,,
AMIGO,miguel.pv.482794,,https://www.facebook.com/miguel.pv.482794/,,,,
AMIGO,omar.martinez.465923,,https://www.facebook.com/omar.martinez.465923/,,,,
AMIGO,rxsnini,,https://www.facebook.com/rxsnini/,,,,
AMIGO,valeria.tovar.7106,,https://www.facebook.com/valeria.tovar.7106/,,,,
AMIGO,alejandro.nava.tovar,,https://www.facebook.com/alejandro.nava.tovar/,,,,
AMIGO,shadany.guerrero.2025,,https://www.facebook.com/shadany.guerrero.2025/,,,,
AMIGO,teffy.gh.7,,https://www.facebook.com/teffy.gh.7/,,,,
AMIGO,angel.morales.250194,,https://www.facebook.com/angel.morales.250194/,,,,
AMIGO,blanca.nunezcortes,,https://www.facebook.com/blanca.nunezcortes/,,,,
AMIGO,laloFTP,,https://www.facebook.com/laloFTP/,,,,
AMIGO,line.accesories.2025,,https://www.facebook.com/line.accesories.2025/,,,,
AMIGO,alex.alcibar.520,,https://www.facebook.com/alex.alcibar.520/,,,,
AMIGO,karla.mendoza.619637,,https://www.facebook.com/karla.mendoza.619637/,,,,
AMIGO,jazmina1525,,https://www.facebook.com/jazmina1525/,,,,
AMIGO,eddi.romero.79,,https://www.facebook.com/eddi.romero.79/,,,,
AMIGO,david.hr.115097,,https://www.facebook.com/david.hr.115097/,,,,
AMIGO,violetmz,,https://www.facebook.com/violetmz/,,,,
AMIGO,arath.delaogonzalez,,https://www.facebook.com/arath.delaogonzalez/,,,,
AMIGO,santiago.robles.973536,,https://www.facebook.com/santiago.robles.973536/,,,,
AMIGO,daniela.reyes.89850,,https://www.facebook.com/daniela.reyes.89850/,,,,
AMIGO,sofia.gonzalezsanchez.77,,https://www.facebook.com/sofia.gonzalezsanchez.77/,,,,
AMIGO,andrey.ga.12,,https://www.facebook.com/andrey.ga.12/,,,,
AMIGO,aronantonio.cantuenrriques,,https://www.facebook.com/aronantonio.cantuenrriques/,,,,
AMIGO,julian.legaria.2025,,https://www.facebook.com/julian.legaria.2025/,,,,
AMIGO,angelnatanael.navavalencia,,https://www.facebook.com/angelnatanael.navavalencia/,,,,
AMIGO,joge.monroy,,https://www.facebook.com/joge.monroy/,,,,
AMIGO,emiliano.prado.1628,,https://www.facebook.com/emiliano.prado.1628/,,,,
AMIGO,mayte.penaloza.2025,,https://www.facebook.com/mayte.penaloza.2025/,,,,
